Region,Sales,Revenue,Month,Year,Advertising_Expenditure,Product_Category,Marketing_Campaign
East,1315,4725,April,2023,4370.861069626262,Category_1,Before
West,1973,3019,July,2023,9556.428757689246,Category_1,Before
South,953,1459,December,2023,7587.945476302646,Category_1,After
West,1128,4472,January,2022,6387.926357773329,Category_3,Before
West,1744,1550,August,2022,2404.1677639819286,Category_3,Before
East,1677,1392,December,2022,2403.9506830258238,Category_2,After
West,1164,4938,October,2023,1522.7525095137953,Category_1,After
East,511,2787,December,2022,8795.585311974417,Category_3,After
North,1656,1844,November,2023,6410.035105688879,Category_1,After
North,803,4278,June,2022,7372.653200164409,Category_2,Before
East,1816,3257,May,2022,1185.260448662222,Category_2,After
North,1474,2138,October,2023,9729.18866945795,Category_2,After
South,1823,4808,November,2022,8491.983767203796,Category_1,Before
West,1282,1645,September,2023,2911.0519961044856,Category_3,Before
South,542,4322,February,2023,2636.4247048639054,Category_3,Before
West,1443,3266,May,2022,2650.6405886809043,Category_2,After
North,842,3454,June,2023,3738.1801866358396,Category_3,Before
South,1849,2466,July,2023,5722.807884690141,Category_2,After
North,997,4674,May,2022,4887.505167779042,Category_1,After
West,863,2377,September,2022,3621.0622617823774,Category_2,After
East,1390,3935,January,2023,6506.676052501415,Category_1,Before
East,926,3605,July,2022,2255.4447458683762,Category_2,After
South,1504,3597,October,2023,3629.3018368169633,Category_3,Before
North,520,1141,July,2023,4297.256589643225,Category_3,Before
North,906,3659,April,2022,5104.629857953323,Category_2,Before
South,1118,1500,September,2022,8066.583652537122,Category_3,After
East,1514,1839,December,2022,2797.0640394252378,Category_3,After
West,835,3749,November,2022,5628.109945722505,Category_3,After
South,1640,4618,May,2023,6331.731119758382,Category_1,Before
West,1647,2682,April,2023,1418.0537144799796,Category_3,After
East,898,2565,July,2022,6467.903667112945,Category_1,After
North,1292,3046,April,2022,2534.717113185624,Category_2,After
East,1214,4917,March,2023,1585.4643368675156,Category_3,After
South,550,2530,September,2023,9539.969835279999,Category_3,After
North,823,1595,November,2023,9690.688297671035,Category_3,Before
South,1288,2904,August,2023,8275.576133048151,Category_2,Before
South,640,1280,January,2022,3741.5239225603364,Category_1,Before
East,969,1423,July,2023,1879.0490260574547,Category_1,Before
South,1286,3903,September,2023,7158.097238609412,Category_3,After
East,1857,1269,August,2022,4961.372443656412,Category_2,Before
North,1463,1153,August,2023,2098.3441136030096,Category_2,After
East,1507,3661,June,2023,5456.592191001431,Category_2,Before
North,872,2750,November,2022,1309.4966900369654,Category_2,Before
East,993,1661,April,2022,9183.883618709038,Category_2,Before
West,1250,2967,August,2022,3329.0198344001524,Category_1,After
West,1679,1082,March,2023,6962.700559185838,Category_1,After
South,790,4693,September,2023,3805.3996848046986,Category_1,Before
East,1667,3994,February,2022,5680.612190600297,Category_3,After
East,605,3946,February,2022,5920.392514089517,Category_2,Before
North,1943,2449,December,2023,2663.6900997297435,Category_3,Before
South,1169,2298,December,2022,9726.261649881028,Category_2,Before
East,501,4784,July,2022,7976.195410250031,Category_1,After
South,1088,3331,December,2022,9455.490474077702,Category_3,Before
West,1143,1979,October,2023,9053.44615384884,Category_1,Before
East,589,3220,April,2023,6381.099809299766,Category_2,Before
East,1868,4398,October,2023,9296.868115208052,Category_2,After
South,849,4789,August,2023,1796.4325184672755,Category_2,Before
East,1982,4134,September,2023,2763.845761772307,Category_1,After
South,1786,4144,July,2023,1407.0456001948426,Category_2,Before
East,1874,3810,May,2022,3927.972976869379,Category_1,After
North,1631,2659,August,2023,4498.095607205338,Category_3,Before
South,1562,2398,April,2023,3442.141285965063,Category_2,Before
East,1408,1632,February,2022,8458.637582367364,Category_2,After
West,658,2531,November,2023,4210.779940242303,Category_2,After
East,1458,1786,December,2023,3528.4105871864267,Category_3,Before
West,811,3990,June,2022,5884.264748424236,Category_2,After
West,1764,4059,September,2022,2268.3180247728637,Category_1,Before
North,944,1397,January,2022,8219.772826786357,Category_1,Before
South,797,2143,November,2023,1670.9557931179374,Category_2,Before
East,1451,1933,October,2022,9881.982429404656,Category_2,After
North,535,2460,December,2023,7950.202923669916,Category_3,Before
East,1607,2852,July,2023,2788.4411338075515,Category_3,After
West,1975,3723,October,2023,1049.6990541124217,Category_3,Before
South,1908,3983,September,2023,8339.152856093508,Category_2,After
East,1695,3512,October,2022,7361.716094628554,Category_3,After
East,1899,1285,September,2022,7561.0645123688855,Category_3,Before
West,1885,1264,October,2023,7941.433120173511,Category_1,After
East,1058,3367,November,2022,1666.4018656068133,Category_3,Before
East,1390,3720,March,2023,4226.191556898453,Category_1,Before
West,640,4447,November,2023,2042.8215357261674,Category_1,Before
North,1386,3867,May,2023,8767.930832880342,Category_3,Before
West,1641,3136,August,2022,6609.683141448021,Category_1,Before
North,1800,2677,August,2023,3978.0822236738427,Category_2,After
South,1225,2226,April,2023,1572.0251525742128,Category_2,Before
North,1743,1820,December,2022,3798.8408954409597,Category_3,After
North,1549,2762,November,2022,3926.6498982407234,Category_2,After
South,1020,4048,November,2022,7566.455605042576,Category_1,Before
North,509,3381,January,2022,6738.017242196918,Category_2,After
West,1483,3269,January,2023,8984.914683186938,Category_3,Before
North,877,1040,April,2022,5249.934326457544,Category_3,After
South,1181,2731,June,2023,2076.3482134447154,Category_1,After
West,1083,1067,August,2022,7419.203085006955,Category_3,After
South,651,1987,June,2022,7847.065437552077,Category_2,Before
South,1219,2799,December,2022,6051.494778125466,Category_3,After
East,1572,3561,September,2022,7938.704619591049,Category_1,Before
East,1677,4944,September,2022,5444.160367279516,Category_3,After
South,1358,4708,February,2022,5704.595464437946,Category_2,After
South,1816,4693,October,2023,4847.869165226946,Category_1,After
South,549,2621,January,2022,1228.7721406968567,Category_2,After
East,1163,2655,February,2022,1971.02284293974,Category_1,Before
