,Unnamed: 0,CustomerID,ProductID,Quantity,Price,TransactionDate,StoreLocation,ProductCategory,DiscountApplied(%),TotalAmount,MarketingPromotion
1,1,109318,C,7,80.07984415,7/05/2023,"176 Andrew Cliffs
Baileyfort, HI 93354",Books,18.6770995,455.8627638,Yes
2,2,993229,C,4,75.19522942,8/05/2023,"11635 William Well Suite 809
East Kara, MT 19483",Home Decor,14.12136502,258.3065464,No
3,3,579675,A,8,31.52881648,9/05/2023,"910 Mendez Ville Suite 909
Port Lauraland, MO 99563",Books,15.94370066,212.0156509,Yes
4,4,799826,D,5,98.88021828,10/05/2023,"87522 Sharon Corners Suite 500
Lake Tammy, MO 76234",Books,6.68633678,461.3437694,No
5,5,121413,A,7,93.18851246,11/05/2023,"0070 Michelle Island Suite 143
Holand, VA 80142",Electronics,4.030095691,626.0304837,Yes
6,6,463050,D,3,54.09315249,12/05/2023,"8492 Jonathan Drive
North Robertshire, TN 67532",Electronics,10.88876836,144.6092233,No
7,7,888163,D,7,13.12193739,13/05/2023,"USNV Harrell
FPO AA 62814",Clothing,16.29512671,76.88590745,Yes
8,8,843385,A,8,56.02516419,14/05/2023,"489 Juan Loop Apt. 093
North Brettville, WV 72610",Home Decor,6.344305684,419.7660521,Yes
9,9,839609,B,5,23.85798105,15/05/2023,"528 Justin Expressway Apt. 336
Cabreraborough, SD 17915",Electronics,18.70399725,96.97792465,No
10,10,184135,D,4,63.3427768,16/05/2023,"189 Wright Mews
Martinfurt, MO 75932",Books,7.640606649,234.0120175,No
11,11,266491,C,8,98.79272609,17/05/2023,"388 Matthew Lane Apt. 592
West Andreachester, IN 96537",Books,14.17495322,678.3112271,Yes
12,12,65632,D,8,78.12314235,18/05/2023,"PSC 1498, Box 4142
APO AP 10928",Electronics,14.70431078,533.0853817,Yes
13,13,26863,B,3,39.003285,19/05/2023,"623 William Track Apt. 920
Port Dave, NE 02045",Electronics,14.3684358,100.1973691,No
