Region,Sales,Orders,Revenue,Month,Year,Latitude,Longitude,Customer_Name,Product_Category,Marketing_Campaign,Discount Percentage,Profit,Quantity Sold,Customer Lifetime Value
East,1001,6,4696,March,2022,80.03983179079714,-95.1757735710066,Customer_92,Category_3,Before,21.854305348131312,21854.30534813131,47,212.7659574468085
West,1458,17,2885,March,2023,19.7894805472893,159.68669185266378,Customer_847,Category_3,Before,47.78214378844623,47782.14378844623,12,833.3333333333334
North,1668,7,3301,October,2023,76.414044371742,133.65058586351495,Customer_613,Category_3,Before,37.93972738151323,37939.72738151323,62,161.29032258064515
East,1724,20,4701,December,2022,51.44627618430718,-75.80127781144503,Customer_411,Category_1,After,31.93963178886665,31939.63178886665,80,125.0
East,1428,10,3028,December,2023,16.190618904325575,101.95756367640432,Customer_431,Category_3,Before,12.020838819909644,12020.838819909644,88,113.63636363636364
West,960,23,3757,April,2023,-88.84166193057678,109.16816567933024,Customer_677,Category_2,After,12.01975341512912,12019.75341512912,83,120.48192771084338
North,1231,11,4920,June,2022,49.05293149429272,175.16272108118778,Customer_158,Category_3,After,7.613762547568976,7613.7625475689765,8,1250.0
North,1251,14,2900,July,2022,36.44790148592439,35.22239526444659,Customer_13,Category_3,After,43.97792655987208,43977.92655987208,95,105.26315789473684
East,1424,13,3610,October,2022,20.74565759083453,-150.4923355282816,Customer_372,Category_1,Before,32.0501755284444,32050.175528444397,21,476.1904761904762
South,1408,6,3804,April,2023,46.87637610284492,52.86140241349713,Customer_224,Category_1,After,36.86326600082205,36863.26600082205,81,123.45679012345678
East,1776,19,4986,June,2022,2.325989659457832,44.99270941537267,Customer_504,Category_2,After,5.92630224331111,5926.30224331111,87,114.94252873563218
East,889,9,2449,November,2022,36.73498883784103,49.80620787135544,Customer_72,Category_3,After,48.645943347289744,48645.94334728974,80,125.0
East,1382,8,1546,January,2022,78.3309756107688,-69.42756668248386,Customer_248,Category_3,After,42.45991883601898,42459.91883601898,70,142.85714285714286
East,755,24,4373,August,2022,-22.35509714770447,129.48465062891984,Customer_510,Category_3,After,14.555259980522427,14555.259980522427,72,138.88888888888889
West,1208,8,1921,July,2023,37.461930282112576,165.4099858639483,Customer_602,Category_2,After,13.182123524319527,13182.123524319528,25,400.0
North,949,22,1580,November,2023,-4.376192758027429,-101.62349532786546,Customer_215,Category_1,After,13.253202943404522,13253.202943404522,82,121.95121951219512
West,509,8,2372,November,2022,31.391937326516683,-148.265223070808,Customer_972,Category_2,After,18.690900933179197,18690.900933179197,89,112.35955056179775
West,1323,21,4903,September,2023,47.320800399785554,-109.96738805934572,Customer_601,Category_3,After,28.614039423450702,28614.0394234507,12,833.3333333333334
West,1297,16,2956,March,2022,-81.81854992155672,115.39877013205876,Customer_540,Category_1,After,24.43752583889521,24437.52583889521,15,666.6666666666666
East,1765,21,3003,February,2022,26.388079910759146,63.5920685351451,Customer_946,Category_1,After,18.105311308911887,18105.311308911885,59,169.4915254237288
South,1774,14,3096,January,2023,-49.18658680674998,48.97704324208559,Customer_816,Category_2,After,32.53338026250708,32533.380262507082,26,384.61538461538464
North,1376,5,3964,March,2023,30.605856805362023,-35.35447136060719,Customer_938,Category_1,Before,11.277223729341882,11277.223729341882,26,384.61538461538464
South,1528,22,4145,May,2022,-5.70056653191358,28.018069744116872,Customer_987,Category_1,Before,18.146509184084817,18146.509184084818,47,212.7659574468085
West,1642,22,1703,November,2022,49.239493535679685,-69.16531490122773,Customer_219,Category_3,After,21.486282948216125,21486.282948216125,32,312.5
West,1515,18,3308,February,2023,-67.78785326299264,-8.20797140953394,Customer_839,Category_3,After,25.523149289766618,25523.149289766618,10,1000.0
South,873,19,3403,December,2022,22.738023298115124,105.5026902134361,Customer_726,Category_1,After,40.33291826268561,40332.91826268561,16,625.0
South,1588,16,4653,March,2023,-39.87526879304058,173.2469750839664,Customer_220,Category_1,Before,13.985320197126189,13985.32019712619,71,140.8450704225352
South,645,8,2625,April,2022,63.53675915950646,155.6960124923287,Customer_388,Category_2,Before,28.140549728612523,28140.549728612525,17,588.2352941176471
West,723,7,4331,July,2022,77.10903101453533,156.19173942464954,Customer_553,Category_2,Before,31.65865559879191,31658.65559879191,23,434.7826086956522
West,1762,24,1637,March,2023,89.35169286222998,-35.199455455039555,Customer_646,Category_1,After,7.090268572399898,7090.268572399898,26,384.61538461538464
North,676,16,3790,September,2023,53.281332436910986,-11.235643017555276,Customer_41,Category_3,After,32.339518335564726,32339.518335564728,85,117.6470588235294
North,1352,11,4366,August,2023,45.67213267704082,74.02874269283336,Customer_675,Category_1,After,12.673585565928118,12673.585565928117,86,116.27906976744185
West,1805,15,2009,April,2023,-51.209863403840814,151.98909409846232,Customer_872,Category_1,After,7.927321684337578,7927.321684337578,7,1428.5714285714287
South,562,5,3978,January,2023,-29.518729381780425,-128.8820666332495,Customer_282,Category_3,Before,47.699849176399994,47699.84917639999,14,714.2857142857143
South,1740,10,1640,January,2023,-6.177142482789691,-70.47292902220953,Customer_57,Category_3,After,48.45344148835517,48453.441488355165,79,126.58227848101266
North,1326,19,3839,January,2023,49.208588600804944,-129.87113594612055,Customer_813,Category_2,Before,41.37788066524075,41377.88066524075,7,1428.5714285714287
West,1294,19,4384,January,2022,74.69385571403436,40.3230707854039,Customer_833,Category_2,Before,18.70761961280168,18707.619612801678,9,1111.111111111111
North,1188,23,3659,August,2022,-55.95496199586277,-69.73164112048649,Customer_536,Category_2,After,9.395245130287275,9395.245130287276,48,208.33333333333334
North,1984,15,2861,March,2022,76.02614724061851,-62.60117309547356,Customer_72,Category_2,Before,35.79048619304706,35790.48619304706,72,138.88888888888889
East,604,6,3856,June,2023,35.21243742373045,-154.47025458432748,Customer_884,Category_3,Before,24.80686221828206,24806.862218282058,59,169.4915254237288
East,1622,18,2205,March,2023,19.93873152330696,-54.07341774926691,Customer_922,Category_1,Before,10.491720568015047,10491.720568015047,87,114.94252873563218
East,1010,6,1685,November,2023,-54.02857116925089,130.49874266457073,Customer_128,Category_2,Before,27.28296095500716,27282.96095500716,93,107.52688172043011
South,884,8,2851,May,2022,-80.0054940943529,-96.0937877192994,Customer_598,Category_2,After,6.547483450184828,6547.483450184828,82,121.95121951219512
West,904,21,4435,July,2023,12.32368173142919,70.26748783562363,Customer_841,Category_3,After,45.91941809354519,45919.41809354519,95,105.26315789473684
West,1322,7,1187,February,2023,27.27282299920064,46.66620417789335,Customer_425,Category_3,Before,16.645099172000762,16645.099172000762,94,106.38297872340425
West,1017,17,4640,June,2022,-52.05933911615612,130.8544590128815,Customer_947,Category_1,After,34.81350279592919,34813.50279592919,39,256.4102564102564
West,975,13,4614,June,2023,10.162117048582148,-132.37633884562624,Customer_664,Category_1,Before,19.026998424023493,19026.99842402349,99,101.01010101010101
